"Title","Path","Start period","Faculteiten","Minor taal","Interessegebied"
"Orthopedagogiek","/fsw/orthopedagogiek-0","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Persoonlijkheid en relaties","/fsw/persoonlijkheid-en-relaties","Periode 2","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Planologie","/geo/sgpl/planologie","Periode 1, Periode 2, Periode 3, Periode 4","Geowetenschappen","Nederlands","Aarde en milieu"
"Politiek tussen nationale staat en mondiale samenleving","/gw/politiek-tussen-nationale-staat-en-mondiale-samenleving","Periode 1","Geesteswetenschappen","Nederlands","Recht, economie en bestuur, Kunst, cultuur en geschiedenis, Religie, filosofie en ethiek"
"Postcolonial studies","/en/node/351/postcolonial-studies","Periode 1, Periode 3","Geesteswetenschappen","Engels","Kunst, cultuur en geschiedenis"
"Psychosociale problemen","/fsw/psychosociale-problemen","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Religie in het publieke domein","/gw/religie-in-het-publieke-domein","Periode 1","Geesteswetenschappen","Nederlands","Religie, filosofie en ethiek"
"Religiestudies","/gw/religiestudies-0","","Geesteswetenschappen","","Kunst, cultuur en geschiedenis, Religie, filosofie en ethiek"
"Research en development","/fsw/research-en-development","","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Sociaal Ondernemerschap","/rebo/sociaal-ondernemerschap","Periode 1, Periode 2, Periode 3, Periode 4","Recht, Economie, Bestuur en Organisatie","Nederlands","Recht, economie en bestuur"
"Sociaalwetenschappelijk onderzoek","/fsw/sociaalwetenschappelijk-onderzoek","Periode 2","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Social Neuroscience","/en/fss/social-neuroscience","Periode 1","Sociale Wetenschappen","Engels","Mens en gedrag"
"Social Policies in Contemporary Europe: New inequalities and risks (SPiCE)","/en/fss/social-policies-in-contemporary-europe-new-inequalities-and-risks-spice","Periode 3","Sociale Wetenschappen","Engels",""
"Sociale geografie","/geo/sgpl/sociale-geografie","Periode 1, Periode 2, Periode 3, Periode 4","Geowetenschappen","Nederlands","Aarde en milieu"
"Sociology and Social Research","/fsw/sociology-and-social-research","Periode 1","Sociale Wetenschappen","Engels, Nederlands",""
"Sociology: Contemporary Social Problems ","/fsw/sociology-contemporary-social-problems","","Sociale Wetenschappen","Engels, Nederlands","Mens en gedrag"
"Solidariteit en sociaal kapitaal","/fsw/solidariteit-en-sociaal-kapitaal","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Spaanse taal en cultuur","/gw/spaanse-taal-en-cultuur-0","","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie"
"Sport, pedagogiek en beleid","/fsw/sport-pedagogiek-en-beleid","Periode 1","Sociale Wetenschappen","Nederlands","Mens en gedrag"
"Stadsgeografie","/geo/sgpl/stadsgeografie","Periode 1, Periode 2, Periode 3, Periode 4","Geowetenschappen","Nederlands","Aarde en milieu"
"Structuurbiologie","/beta/biologie/structuurbiologie","Periode 1, Periode 2, Periode 3, Periode 4","Bètawetenschappen","Nederlands","Mens, dier en gezondheid"
"Sustainable Energy","/geo/sustainable-energy","Periode 1, Periode 2","Geowetenschappen","Nederlands","Aarde en milieu"
"Taalontwikkeling","/gw/taalontwikkeling","Periode 1","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie"
"Taalwetenschap","/gw/taalwetenschap-0","Periode 1","Geesteswetenschappen","Nederlands","Talen en culturen, communicatie"
"Theorie van het recht ","/rebo/theorie-van-het-recht","Periode 1","Recht, Economie, Bestuur en Organisatie","Nederlands","Recht, economie en bestuur"
"Wat is de mens?","/gw/wat-is-de-mens","Periode 1, Periode 2","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Religie, filosofie en ethiek"
"Water, Climate and Ecosystems","/en/geo/water-climate-and-ecosystems","Periode 1, Periode 2, Periode 3","Geowetenschappen","Nederlands","Aarde en milieu, Natuur"
"Wetenschapsgeschiedenis","/gw/wetenschapsgeschiedenis","Periode 1","Geesteswetenschappen","Nederlands","Kunst, cultuur en geschiedenis, Religie, filosofie en ethiek"
"Wiskunde voor informatici","/beta/wiskunde/wiskunde-voor-informatici","Periode 1","Bètawetenschappen","Nederlands",""
"Wiskunde voor natuurkundigen","/beta/wiskunde/wiskunde-voor-natuurkundigen","Periode 1, Periode 3","Bètawetenschappen","Nederlands",""
"Wiskunde voor niet-natuurkundigen","/beta/wiskunde/wiskunde-voor-niet-natuurkundigen","Periode 1, Periode 3","Bètawetenschappen","Nederlands",""
